才能名,link,発揮効果,発揮条件,発揮対象,発揮確率
荒道,https://dabimas.jp/kouryaku/abilities/3452901586.html,・コーナーで、やや長い時間 脚が少し速くなる,・馬場状態が重、不良 ・枠順が内枠,・自分,100%
光破闇断煌,https://dabimas.jp/kouryaku/abilities/6132241602.html,・ゴールまで300m以内で、 光の馬の如く、闇を切り裂く (短い時間、脚が速くなる),・2000～2500m ・中山競馬場、東京競馬場、 阪神競馬場,・自分,100%
降伏,https://dabimas.jp/kouryaku/abilities/8110643245.html,・ゴールまで450m以内で、 やや長い時間、 対象を競り合いで疲れやすくする,・日本ダービー ・6番手以下にいる時,・自分より順位の高い相手へ ・自分以外の相手へ ・騎乗指示：先行 ・相手競走馬2頭,30%〜50%
幸福招来,https://dabimas.jp/kouryaku/abilities/2467065213.html,・最後の直線で、 短い時間、脚が少し速くなり、 スタミナが少し増える,・馬場状態が良、稍重 ・2500～3200m ・中山競馬場、京都競馬場,・自分,100%
光芒円刃,https://dabimas.jp/kouryaku/abilities/2166145643.html,・効果1（条件1を満たすと発揮） 常時、脚が少し速くなり、 根性がつく ・効果2（条件1、2を満たすと発揮） ゴールまで250m以内で、 やや長い時間、脚が速くなり、 競り合いで疲れづらくなる ・効果3（条件1、2を満たすと発揮） 特殊演出が発生する,・条件1 馬場状態が良 皐月賞、日本ダービー、 菊花賞 ・条件2 騎乗指示：逃げ,・効果1 自分 ・効果2 自分 ・効果3 自分,100%
孤王,https://dabimas.jp/kouryaku/abilities/4218616543.html,・ゴールまで300m以内で、 短い時間、脚が速くなり、 スタミナが少し増える,・天候が晴 ・2000m ・芝レース ・騎乗指示：先行,・自分,30%〜70%
虚空宿星,https://dabimas.jp/kouryaku/abilities/3452431786.html,・ゴールまで200m以内で、やや長い時間、 脚が少し速くなる,・コンディションが絶好調 ・騎手がルメール騎手、岩田騎手、 幸騎手、秋山騎手、 松若騎手,・自分,100%
黒風白雨,https://dabimas.jp/kouryaku/abilities/5612364189.html,・常時、脚が少し速くなり、 スタミナが少し増える,・馬場状態が良、稍重 ・1800～2000m ・東京競馬場、京都競馬場、 メイダン競馬場,・自分,100%
刻露清秀,https://dabimas.jp/kouryaku/abilities/4218612583.html,・ゴールまで200m以内で、 短い時間、脚が速くなり、 スタミナが増え、 競り合いで疲れづらくなる,・天候が晴 ・馬場状態が良、稍重 ・2000、2400m ・芝レース ・年齢が3歳,・自分,60%
古豪,https://dabimas.jp/kouryaku/abilities/1904724356.html,・常時、脚が少し速くなり、 根性がつき、気性が穏やかになる,・年齢が4歳以上,・自分,100%
東風,https://dabimas.jp/kouryaku/abilities/5712364692.html,・ゴールまで350m以内で、 やや長い時間、脚が速くなる,・1200～2000m ・中山競馬場、中京競馬場 ・騎乗指示：差し,・自分,100%
胡蝶闘舞,https://dabimas.jp/kouryaku/abilities/3214957368.html,・効果1（条件1を満たすと発揮） 常時、脚が少し速くなり、 スタミナが少し増える ・効果2（条件1、2を満たすと発揮） ゴールまで400m以内で、 やや長い時間、脚が速くなり、 スタミナが少し増える,・条件1 ジャパンカップ、凱旋門賞 ・条件2 騎乗指示：差し、追込,・効果1 自分 ・効果2 自分,100%
胡蝶之夢,https://dabimas.jp/kouryaku/abilities/4264185304.html,・最後の直線で、 短い時間スタミナが増え、 脚が速くなる,・2000～3200m ・阪神競馬場、京都競馬場 ・5番手以上にいる時,・自分,100%
克己,https://dabimas.jp/kouryaku/abilities/2869140503.html,・常時、スタミナが少し増える,・メイダン競馬場 ・ダートレース ・一定以上の人気度がある,・自分,100%
木端微塵,https://dabimas.jp/kouryaku/abilities/0271160473.html,・スタートから100m以降で、短い時間 脚が速くなるが、スタミナが減る,・1600m ・芝レース ・コンディションが絶好調 ・騎乗指示：逃げ,・自分,100%
鼓舞激励,https://dabimas.jp/kouryaku/abilities/6614532228.html,・鞭を入れた時に、やや長い時間 脚が速くなる,・騎手が和田竜騎手,・自分,100%
辛夷,https://dabimas.jp/kouryaku/abilities/1444725356.html,・ゴールまで225m以内で、 短い時間、脚が非常に速くなり、 スタミナが少し増える,・1200、1800、2000m ・中山競馬場、阪神競馬場、 中京競馬場、メイダン競馬場 ・騎乗指示：逃げ,・自分,100%
こまちょこ,https://dabimas.jp/kouryaku/abilities/9315448264.html,・ゴールまで300m以内で 短い時間、脚が少し速くなり、 スタミナが増える,・1600～2000m ・東京競馬場、大井競馬場 ・3番人気以上の時 ・騎乗指示：逃げ,・自分,55%〜100%
困者,https://dabimas.jp/kouryaku/abilities/8214758364.html,・ゴールまで400m以内で、やや長い時間 対象の脚を遅くする,・皐月賞 ・6番手以下にいる時,・自分より順位の高い相手へ ・自分以外の相手へ ・騎乗指示：追込 ・相手競走馬2頭,30%〜70%
根性,https://dabimas.jp/kouryaku/abilities/6315448267.html,・レース中盤で、短い時間 脚が少し速くなる,・差しの位置にいる場合,・自分,100%
渾然一体,https://dabimas.jp/kouryaku/abilities/6538731432.html,・鞭を入れた時に、やや長い時間 脚が少し速くなる,・騎手が田辺騎手,・自分,100%
紺碧夏空♪,https://dabimas.jp/kouryaku/abilities/7365243167.html,・ゴールまで500m以内で、 やや長い時間、脚が速くなり、 競り合いで疲れづらくなる,・天候が晴、曇 ・阪神競馬場、京都競馬場 ・騎乗指示：逃げ,・自分,50%〜100%
豪華お雑煮！,https://dabimas.jp/kouryaku/abilities/2768141513.html,・常時、スタミナが増え、 根性がつく,・2000～2200m ・阪神競馬場、メイダン競馬場,・自分,100%
傲岸不遜,https://dabimas.jp/kouryaku/abilities/4217674513.html,・効果1（条件1を満たすと発揮） 常時、脚が少し速くなり、 スタミナが少し増える ・効果2（条件1、2を満たすと発揮） 最後の直線で、 やや長い時間、脚が速くなり、 スタミナが少し増える,・条件1 天皇賞(春)、宝塚記念、 ドバイターフ ・条件2 騎乗指示：逃げ,・効果1 自分 ・効果2 自分,100%
豪毅,https://dabimas.jp/kouryaku/abilities/6538831422.html,・最終コーナーで、 短い時間、スタミナが増え、 競り合いで疲れづらくなる,・中京競馬場、大井競馬場 ・ダートレース ・コンディションが好調以上 ・年齢が4歳以上 ・他馬と競り合う位置にいるか,・自分,100%
剛毅一閃,https://dabimas.jp/kouryaku/abilities/2760141593.html,・スタートから30m以降で、 短い時間、脚が速くなり、 スタミナが少し増える,・2400m ・東京競馬場、シャティン競馬場 ・騎乗指示：逃げ、先行,・自分,100%
剛毅果断,https://dabimas.jp/kouryaku/abilities/7665243146.html,・効果1（条件1を満たすと発揮） 常時、脚が少し速くなる ・効果2（条件1、2を満たすと発揮） ゴールまで525m以内で、 長い時間、脚が少し速くなる,・条件1 馬場状態が良、稍重、重 1600、2400、3200m 東京競馬場、京都競馬場 ・条件2 騎乗指示：逃げ、先行,・効果1 自分 ・効果2 自分,100%
豪筋馬脚,https://dabimas.jp/kouryaku/abilities/6547931412.html,・効果1 常時、スタミナが増える ・効果2 最終コーナーで、 短い時間、スタミナが少し増える,・天候が晴、曇 ・馬場状態が良、稍重 ・1200～2000m ・東京競馬場、阪神競馬場、 京都競馬場、中京競馬場,・効果1 自分 ・効果2 自分,100%
剛重,https://dabimas.jp/kouryaku/abilities/3126740154.html,・常時、スタミナが増え、 根性がつき、気性が穏やかになる,・馬場状態が重、不良 ・2000～2400m ・中山競馬場、東京競馬場、 阪神競馬場、京都競馬場,・自分,100%
剛轍,https://dabimas.jp/kouryaku/abilities/6528431472.html,・常時、スタミナが少し増え、 気性が穏やかになる,・馬場状態が稍重、重、不良 ・2000～2500m ・芝レース,・自分,50%〜80%
豪勇,https://dabimas.jp/kouryaku/abilities/1825948637.html,・最後の直線で、やや長い時間、 競り合いで疲れづらくなる,・騎乗指示：追込,・自分,100%
強欲,https://dabimas.jp/kouryaku/abilities/3452471476.html,・最後の直線で、 長い時間、脚が少し速くなり、 競り合いで疲れづらくなる,・天候が晴 ・馬場状態が良 ・2200～3200m ・コンディションが絶好調,・自分,60%
轟雷穿脚,https://dabimas.jp/kouryaku/abilities/3452361676.html,・効果1（条件1を満たすと発揮） 常時、脚が少し速くなる ・効果2（条件1、2を満たすと発揮） ゴールまで300m以内で、 やや長い時間、脚が速くなる,・条件1 1200～2000m 中山競馬場、メイダン競馬場 芝レース ・条件2 騎乗指示：逃げ、先行,・効果1 自分 ・効果2 自分,100%
ごきげん★,https://dabimas.jp/kouryaku/abilities/2762141573.html,・効果1（条件1を満たすと発揮） 常時、スタミナが少し増える ・効果2（条件1、2を満たすと発揮） ゴールまで200m以内で、 やや長い時間、脚が速くなり、 競り合いで疲れづらくなる,・条件1 天候が晴、曇 馬場状態が良、稍重 1600、2000、2400m 阪神競馬場、ロンシャン競馬場、 メイダン競馬場、シャティン競馬場 ・条件2 騎乗指示：差し,・効果1 自分 ・効果2 自分,100%
極楽蝶蜂舞,https://dabimas.jp/kouryaku/abilities/5714023616.html,・効果1（条件1を満たすと発揮） 常時、脚が少し速くなり、 気性が穏やかになる ・効果2（条件1、2を満たすと発揮） 最後の直線で、 やや長い時間、脚が速くなり、 スタミナが少し増える,・条件1 2400～3200m 中山競馬場、東京競馬場、 京都競馬場、ロンシャン競馬場 芝レース ・条件2 騎乗指示：差し,・効果1 自分 ・効果2 自分,100%
五穀豊穣,https://dabimas.jp/kouryaku/abilities/4447065213.html,・効果1（条件1を満たすと発揮） 常時、脚が少し速くなり、 根性がつく ・効果2（条件1、2を満たすと発揮） ゴールまで550m以内で、 やや長い時間、脚が速くなり、 スタミナが少し増える,・条件1 2000～2410m 阪神競馬場、メイダン競馬場、 シャティン競馬場 ・条件2 騎乗指示：追込,・効果1 自分 ・効果2 自分,100%
五色霜林,https://dabimas.jp/kouryaku/abilities/9467537712.html,・効果1 常時、脚が少し速くなり、 気性が穏やかになる ・効果2 ゴールまで300m以内で、 長い時間、脚が少し速くなり、 競り合いで疲れづらくなる,・天候が晴 ・中山競馬場、新潟競馬場、 京都競馬場、中京競馬場 ・コンディションが好調以上,・効果1 自分 ・効果2 自分,100%
再起,https://dabimas.jp/kouryaku/abilities/5912364582.html,・最終コーナーで、短い時間 脚が少し速くなる,・1400～1800m ・東京競馬場、阪神競馬場、 福島競馬場、京都競馬場,・自分,100%
サイコッチョー,https://dabimas.jp/kouryaku/abilities/1594124366.html,・効果1（条件1を満たすと発揮） 常時、脚が少し速くなり、 スタミナが少し増える ・効果2（条件1、2を満たすと発揮） 最終コーナーで、 やや長い時間、脚が速くなる,・条件1 天候が晴、雨 1600、2400m 東京競馬場、シャティン競馬場 ・条件2 騎乗指示：逃げ、先行 4番手以上にいる時,・効果1 自分 ・効果2 自分,60%〜100%
最終極致,https://dabimas.jp/kouryaku/abilities/2764141553.html,・効果1（条件1を満たすと発揮） 常時、脚が少し速くなり、 スタミナが少し増える ・効果2（条件1、2を満たすと発揮） 最終コーナーで、 やや長い時間、脚が速くなる,・条件1 天候が晴、雨 1600、2400m 東京競馬場、シャティン競馬場 ・条件2 騎乗指示：逃げ、先行 4番手以上にいる時,・効果1 自分 ・効果2 自分,60%〜100%
